hip_x,hip_y,hip_z,right_hip_x,right_hip_y,right_hip_z,right_knee_x,right_knee_y,right_knee_z,right_ankle_x,right_ankle_y,right_ankle_z,left_hip_x,left_hip_y,left_hip_z,left_knee_x,left_knee_y,left_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,spine_x,spine_y,spine_z,thorax_x,thorax_y,thorax_z,nose_x,nose_y,nose_z,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,frame_no,persons
0.0,0.0,0.0,-114.1729994884576,2.067969438187504,-58.54680271601582,-99.52940494934587,344.0508636502583,-160.05897048513287,-127.94811661270161,710.7114569531491,-7.029402351283281,114.17454858238744,-2.0711184434444165,58.544216849589404,149.19783381125745,371.64285497704486,132.49381935606178,185.14930824723837,729.9264520306922,305.38123696460184,1.707723242994429,-253.57578263915084,-49.93754960268148,10.413473563296112,-495.2416499196614,-112.899592284057,4.639001661866796,-595.4291520738493,-141.61268265036924,-1.135470239562518,-695.6166542280371,-170.32577301668147,181.66702728827667,-495.6537719901876,-55.14586011111702,402.97912199703177,-495.96062720664224,-110.71884644258515,607.5706644301646,-527.164480828306,-191.03879147789976,-165.19608494935815,-486.4953974308412,-141.45226092343069,-394.6020489572311,-474.70788868214674,-239.7319211731996,-591.8991579247511,-525.9591391420857,-315.11968339945656,0,person_1
0.0,0.0,0.0,-117.17527941212074,1.077303777631447,-46.819635644932106,-102.90760729669265,365.07452760829085,-66.59645588359646,-131.71049387449483,750.3886122244623,96.69255374075392,117.17720240614,-1.0799275276239166,46.81750764453906,149.76310498706567,383.4407067827733,129.36992893182713,186.50514935059368,761.8710695396207,298.1740708218083,2.473432650442165,-252.64691452288446,-59.64010363466999,11.449255834917837,-492.37291914372486,-133.45769912979912,3.8128525883242808,-594.7126587842022,-163.94717038030262,-3.8235506582692755,-697.0523984246794,-194.4366416308061,185.30820700472083,-492.7640351938582,-84.7483386616839,416.9834748639325,-460.08314943150833,-66.68111194132902,636.3635838137649,-444.5154709834489,-134.179346296998,-166.55938118217205,-485.1892001166524,-141.79298640032218,-404.34569194358204,-452.287479232058,-111.72220845158458,-627.9351546018271,-471.2438956498119,-145.8450085842112,1,person_1
0.0,0.0,0.0,-116.55391326354865,1.3291810176393763,-46.74334406577406,-112.13048406081165,372.8377451529416,2.004787526374919,-142.8770085905696,765.006390155083,178.93466995285291,116.5558264160894,-1.3312781972932681,46.741307370054145,146.44099332196205,387.5394441091165,160.4682797270408,178.5026152949576,769.0105045087377,339.30249730982905,2.051452072975922,-252.04700393600862,-62.63926323503656,10.186037907172555,-492.4667414084817,-138.5917351184428,2.770878777073594,-596.0489789235462,-168.99034537964246,-4.6442803530253665,-699.6312164386106,-199.38895564084208,182.51183192045804,-494.7884262414361,-86.75671633070702,418.8387622503535,-435.3407939993885,-21.052020407597848,647.4475194112454,-387.0722471507381,-73.43550097949611,-165.22957123284016,-483.89977849551894,-146.86337785132474,-394.57109361274274,-415.89566199619424,-75.08525958431575,-627.5242213031519,-400.3721873305809,-96.64352873444236,2,person_1
0.0,0.0,0.0,-115.85612115338047,1.9293476956033357,-45.53245192457734,-109.42600866210456,377.40623729225933,40.27005075504841,-139.2326817273935,769.012709093159,223.7869038108625,115.85766178195627,-1.9296678198368475,45.53074286635432,147.7927635380755,389.09498013288385,165.8520114042733,180.9450216429138,771.1482988940663,340.77441755568475,1.7124260043987072,-252.31642248365512,-63.13679947949889,9.581776200862123,-493.00150541549687,-138.5630091137694,3.7748167478539485,-597.8405216591508,-168.25103985558468,-2.032142705154226,-702.6795379028048,-197.9390705974,179.20080640175343,-494.19182771960277,-85.55564252512882,413.15052400934115,-398.28675696668955,0.4101429915311883,639.7084670761484,-309.5175643434804,-37.84819771911061,-163.0559180218187,-486.0610250804828,-150.0182183368502,-367.13207635671654,-383.48933229103574,-56.83233022686237,-597.2457866588436,-318.3367906890478,-66.76409987869599,3,person_1
0.0,0.0,0.0,-114.41384370472593,3.404282970411143,-47.78359380482916,-111.27770710845161,380.7389274681847,49.67361887993052,-142.08100339052856,773.6849340110851,231.57266887131655,114.41518412053063,-3.403437239598264,47.782043327011806,145.55093531191704,391.3872910944235,185.35547476853233,180.24942907583318,773.553903260005,362.84013234078157,0.8756700770319874,-252.41618976153185,-63.565299726938235,7.480791750439696,-493.3222041990174,-137.6493134635448,1.5510292700536419,-600.2087920754623,-166.3523061335825,-4.378733210332412,-707.0953799519071,-195.05529880362016,173.71358708032912,-496.1358107752857,-79.67013264521002,382.58574785627826,-374.836971481913,34.281908713824635,593.1634391520752,-253.33901213099446,2.907579243050172,-160.9038563526563,-486.17635538033073,-158.56691470220653,-350.1954166985318,-349.90943681333925,-67.69659146067137,-556.7061958116341,-227.19698046810586,-75.1343444391433,4,person_1
0.0,0.0,0.0,-113.61741360849373,2.2167787772322916,-44.72887534149769,-108.57408814489847,384.94675645639643,83.13598449613743,-139.8848875568543,777.4663491034279,269.46706455383355,113.61830419639404,-2.2149959708187703,44.72751059481357,142.56325103191293,394.913411388443,174.0698349418393,182.4966009801263,781.7955682865235,338.3047028760891,1.2852102134838304,-251.26232457119866,-68.02255325967292,7.671241167599275,-490.544831977209,-146.87294413835656,3.3808601889998964,-600.1788313880546,-175.66345584950173,-0.9095207895994823,-709.8128307989002,-204.4539675606469,173.8510695747208,-492.3512137031146,-92.27385059403855,361.55754779145076,-339.69507224667336,39.46323957445291,543.9036736164186,-162.46262894060746,22.919245729913982,-160.04333459456063,-486.34422972001596,-163.57465593673692,-318.37097078145916,-321.6321504373082,-43.00052146793981,-486.88934020984556,-140.13116861278124,-29.22431957324118,5,person_1
0.0,0.0,0.0,-113.49285511051411,2.312449381131408,-45.36663870863211,-108.14116017457866,383.8091551426067,79.88610490897419,-139.54393990732916,775.9389089172357,266.50049415492845,113.4937463248883,-2.3106428251440487,45.36521752893866,142.5216230594138,393.9981071052684,175.2974546525599,180.71926066217605,780.2139437825242,340.9105571457797,1.3255853915564038,-251.40217876340267,-67.55393513833829,7.738469741110166,-490.85192830204744,-146.256171813203,3.4632296913542895,-600.0401501274416,-175.26002287405134,-0.8120103584015874,-709.2283719528358,-204.26387393489972,173.7060656510151,-492.80143981056113,-90.83826191404661,358.994968644312,-340.3928426890319,44.6135359129119,543.2147385030995,-162.4490212319452,30.017862074240377,-159.72005250973666,-486.57293580298284,-163.6734312208547,-318.42253362498485,-320.2281524601219,-44.13801020456837,-487.12437332581777,-139.76540896468273,-32.002284013205745,6,person_1
0.0,0.0,0.0,-115.37358988278754,2.3457158815544235,-44.881114240995835,-103.78852426125378,386.5192408461492,24.387714184136335,-143.63740123481878,788.2069372107896,179.5540542403359,115.37356397071383,-2.344271475290415,44.87984898631536,142.18525032688606,400.4290215554581,170.7592094277784,182.61302374529754,791.0355667071855,332.173995847538,2.1139182830846224,-251.561198811076,-67.69192826089999,7.686311043703549,-491.70412927851135,-145.55375307247076,3.69203328658834,-602.8635432082747,-174.40177885868633,-0.302244470526869,-714.0229571380379,-203.24980464490193,175.18434391168574,-493.6623120080715,-93.33701117245745,326.99347329620315,-282.46711931838826,15.407985871464078,450.1255563836954,-63.59231883053897,1.0115814564613501,-160.56467151544513,-487.49256009642863,-166.02268896648667,-291.0869066316039,-277.86211611887546,-60.05129431586565,-420.06153886641937,-65.80168901258943,-45.94802824678992,7,person_1
0.0,0.0,0.0,-114.47570801805726,2.4101956197709766,-48.735828039425655,-108.62356562722073,394.74388948669883,29.426877963396105,-146.9763189656841,799.7653938710549,162.89508428300826,114.47520685498826,-2.40766014680639,48.73504162714583,146.97991612121064,403.2781197529149,176.81191375676292,192.15776978922435,796.2355713731636,332.53793485092126,3.901837833888007,-251.49767700042457,-68.26499567569874,10.919649751849047,-491.6366097272265,-145.04390685162173,6.011893068757156,-604.5807874340957,-174.8668689945744,1.1041363856652655,-717.5249651409648,-204.68983113752705,178.25554932998716,-494.7691272322713,-88.1666058960297,280.0951195202794,-269.1777301941359,47.17002156067521,347.580944224103,-23.46825769773494,61.79197672653746,-155.12535762605103,-487.36777490823454,-172.42499303487483,-243.84859528442666,-245.34699653545303,-81.99448767751636,-323.1924902567456,-1.6981950641595347,-59.53130793038898,8,person_1
0.0,0.0,0.0,-109.44951458646683,1.9242369111406195,-46.03363538705835,-131.39806052798852,403.93620894988317,93.93729984799117,-174.38230720000928,806.2928849198015,261.91453014860866,109.44942770314063,-1.9210216126649824,46.03245882307462,135.97650163711708,410.32818606406056,179.4977969247501,186.99321184458603,806.8651487814208,333.33911446342904,-0.3601813934572111,-251.97590268125472,-67.63122279794622,0.9737097156247732,-492.9994372865748,-138.6287894987001,-3.708696131711334,-609.8812090949779,-167.25667011241322,-8.391101979047441,-726.7629809033809,-195.88455072612635,167.27793668244078,-495.5364367422403,-86.07170882789885,203.53191870128367,-230.74159166340914,23.02653333434573,207.29920756877286,6.522993622506647,25.453605010830287,-162.23542096107855,-491.6477383466536,-171.3734526734096,-211.89616827311846,-231.00548815623324,-129.525106078131,-199.3847688848926,3.555793386820085,-139.42587499545232,9,person_1
